tanggal,komentar,rating
2024-09-10,"Layanan pengiriman lumayan, sepatu sesuai harapan.",3
2024-10-28,"Pelayanan pelanggan tidak responsif, mouse perlu perbaikan.",2
2025-06-21,"Harga biasa saja, sepatu sesuai harapan.",3
2023-10-31,"Pengalaman belanja standar, mouse sesuai harapan.",3
2024-03-12,"Layanan pengiriman ramah, tas sangat baik.",4
2024-02-28,"Pengalaman belanja kurang rapi, tas perlu perbaikan.",2
2024-10-24,"Harga ramah, tas sangat baik.",5
2024-12-18,"Kemasan lumayan, sepatu sesuai harapan.",3
2023-02-21,"Layanan pengiriman cukup baik, headphone sesuai harapan.",3
2024-04-05,"Harga tepat waktu, jam tangan sangat baik.",5
2024-07-13,"Layanan pengiriman tidak responsif, mouse perlu perbaikan.",1
2023-10-16,"Proses pemesanan profesional, baju sangat baik.",5
2023-01-06,"Harga ramah, tas sangat baik.",5
2025-02-13,"Kemasan profesional, laptop sangat baik.",4
2024-10-24,"Kualitas produk memuaskan, sepatu sangat baik.",5
2024-11-12,"Harga mengecewakan, headphone perlu perbaikan.",2
2024-11-25,"Kemasan tidak responsif, sepatu perlu perbaikan.",2
2023-12-19,"Kemasan cukup baik, baju sesuai harapan.",3
2025-02-04,"Proses pemesanan lumayan, keyboard sesuai harapan.",3
2023-04-13,"Layanan pengiriman profesional, tas sangat baik.",5
2023-04-19,"Harga mengecewakan, mouse perlu perbaikan.",1
2023-09-02,"Layanan pengiriman murah, keyboard sangat baik.",4
2024-12-19,"Kemasan ramah, baju sangat baik.",4
2024-12-24,"Dukungan teknis berkualitas, keyboard sangat baik.",5
2024-04-04,"Pengalaman belanja cepat, baju sangat baik.",4
2023-03-31,"Kualitas produk memuaskan, jam tangan sangat baik.",4
2023-03-04,"Pelayanan pelanggan memuaskan, tas sangat baik.",4
2023-09-21,"Pelayanan pelanggan bisa ditingkatkan, jam tangan sesuai harapan.",3
2025-01-04,"Proses pemesanan buruk, sepatu perlu perbaikan.",2
2025-04-15,"Layanan pengiriman standar, headphone sesuai harapan.",3
2023-09-13,"Proses pemesanan ramah, headphone sangat baik.",4
2024-09-24,"Kualitas produk tidak responsif, sepatu perlu perbaikan.",1
